#
 0,         smart_high_dim,30,  0.25,  0.18,   *                 |                   ,  0.20,  0.22,  0.25,  0.40,  0.40
 0,         smart_high_dim,40,  0.25,  0.15, --*                 |                   ,  0.20,  0.25,  0.25,  0.40,  0.40
 0,         smart_high_dim,50,  0.25,  0.18,   *                 |                   ,  0.20,  0.22,  0.25,  0.40,  0.40
 0,          dumb_high_dim,50,  0.26,  0.08, -- *  ----          |                   ,  0.22,  0.25,  0.26,  0.32,  0.40
 0,          dumb_high_dim,40,  0.32,  0.17, -     *             |                   ,  0.22,  0.23,  0.32,  0.40,  0.40
#
 1,          dumb_high_dim,20,  0.40,  0.11,  ---      *         |                   ,  0.23,  0.29,  0.40,  0.40,  0.40
 1,         smart_high_dim,20,  0.40,  0.15, --        *         |                   ,  0.20,  0.25,  0.40,  0.40,  0.40
 1,          dumb_high_dim,30,  0.40,  0.02,    ------ *         |                   ,  0.26,  0.38,  0.40,  0.40,  0.40
#
 2,                 asIs,1599,  0.60,  0.20,                     *                   ,  0.40,  0.40,  0.60,  0.60,  0.60
